block_number,block_timestamp,my_timestamp,timestamp_delta,tx_count,avg_gas_price,median_gas_price,q5_gas_price,q95_gas_price
5467152,1524122319,1524122326,7,180,13.11160451983822,5.0,2.0,40.749588867143196
5467153,1524122324,1524122329,5,110,9.122337240651444,3.0,3.0,51.540064769600924
5467154,1524122328,1524122348,20,108,13.461505982368838,6.0,2.0,48.4647233584762
5467155,1524122347,1524122354,7,149,37.22801165118699,5.0,3.0,140.0
5467156,1524122354,1524122361,7,132,8.470120310520594,4.0,1.1,49.909451660516595
5467157,1524122360,1524122381,21,110,4.837905069283691,4.0,2.0,13.259230987232241
5467158,1524122380,1524122395,15,63,45.660538403605635,50.0,20.0,90.61349179636498
5467159,1524122394,1524122402,8,213,10.690836941188467,5.0,3.0,50.0
5467160,1524122399,1524122414,15,59,9.582333280349372,4.0,2.2,50.0
5467161,1524122407,1524122422,15,179,3.664921206606099,3.0,2.0,5.0
5467162,1524122415,1524122428,13,214,11.282408124063693,4.0,2.0,50.0
5467163,1524122425,1524122448,23,209,8.314720381171778,3.0,2.0,50.0
5467164,1524122447,1524122460,13,180,12.416631743595932,4.0,2.0,51.41357800687284
5467165,1524122458,1524122518,60,162,7.844169767288378,4.0,2.0,24.0
5467166,1524122519,1524122528,9,194,21.111874924524646,8.357688862897017,4.0,60.0
5467167,1524122527,1524122535,8,135,8.749259707910543,4.0,3.0,50.0
5467168,1524122534,1524122566,32,118,3.8923961723159706,3.0,2.0,6.130501562499954
5467169,1524122565,1524122590,25,127,17.053520747148404,5.0,4.0,51.447454471428564
5467170,1524122590,1524122594,4,190,56.29067837626346,55.0,50.0,91.0
5467171,1524122593,1524122643,50,183,15.025137120817636,5.0,4.0,50.0
5467172,1524122646,1524122652,6,175,17.199096419915822,8.0,4.0,55.0
5467173,1524122651,1524122671,20,117,9.88938827415511,4.0,2.0,20.825818710691824
5467174,1524122670,1524122682,12,98,3.329436717365813,3.8232643240919923,2.0,4.0
5467175,1524122680,1524122687,7,235,11.074193431456578,5.0,1.0,50.0
5467176,1524122686,1524122718,32,131,8.323133657100684,4.0,3.0,50.0
5467177,1524122717,1524122738,21,177,13.985077815522963,5.0,2.0,56.83578625
5467178,1524122737,1524122751,14,117,11.40067871727544,4.0,3.0,50.0
5467179,1524122752,1524122771,19,136,10.237008552151746,4.0,3.0,31.42926217424386
5467180,1524122770,1524122779,9,174,14.056271852126528,5.0,2.0,50.0
5467181,1524122778,1524122785,7,137,11.486622628311062,4.0,3.0,50.0
5467182,1524122785,1524122796,11,64,42.84431908635751,50.0,15.836237704558505,55.0
5467183,1524122796,1524122809,13,124,5.989418989419221,4.0,2.0,20.0
5467184,1524122809,1524122815,6,114,14.152621101756537,5.0,3.0,50.0
5467185,1524122814,1524122833,19,116,7.02413769458198,3.7190342532969747,2.0,23.24784134701774
5467186,1524122833,1524122843,10,165,12.444688257863957,5.0,2.0,49.90831587857473
5467187,1524122842,1524122867,25,134,30.91141633906206,28.932426138117687,4.0,91.0
5467188,1524122867,1524122881,14,213,17.816286647686447,6.567567641129031,1.1,55.0
