block_number,block_timestamp,my_timestamp,delta
5454860,1523939365,1523939814,449,192
5454861,1523939373,1523939815,442,117
5454863,1523939410,1523939816,406,69
5454864,1523939425,1523939817,392,223
5454866,1523939449,1523939818,369,156
5454867,1523939457,1523939819,362,183
5454869,1523939474,1523939820,346,104
5454870,1523939481,1523939821,340,186
5454871,1523939497,1523939822,325,108
5454872,1523939529,1523939823,294,187
5454874,1523939541,1523939824,283,9
5454877,1523939562,1523939825,263,212
5454878,1523939584,1523939826,242,183
5454882,1523939616,1523939827,211,17
5454884,1523939641,1523939829,188,202
5454885,1523939664,1523939830,166,192
5454887,1523939681,1523939831,150,85
5454889,1523939713,1523939832,119,213
5454892,1523939740,1523939834,94,26
5454894,1523939782,1523939835,53,155
5454895,1523939807,1523939998,191,92
5454898,1523939865,1523939999,134,97
5454899,1523939878,1523940000,122,295
5454901,1523939897,1523940001,104,158
5454905,1523939943,1523940002,59,146
5454909,1523939981,1523940003,22,216
5454910,1523939988,1523940004,16,189
5454913,1523940042,1523940149,107,191
5454915,1523940074,1523940150,76,119
5454918,1523940120,1523940151,31,120
5454919,1523940132,1523940153,21,20
5454923,1523940180,1523940208,28,92
5454924,1523940188,1523940209,21,22
5454925,1523940192,1523940215,23,159
5454926,1523940212,1523940244,32,167
5454927,1523940218,1523940260,42,58
5454928,1523940238,1523940284,46,151
5454930,1523940261,1523940297,36,218
5454933,1523940285,1523940298,13,41
5454934,1523940292,1523940299,7,90
5454935,1523940297,1523940329,32,215
5454936,1523940317,1523940412,95,202
5454938,1523940358,1523940413,55,168
5454940,1523940379,1523940414,35,29
5454941,1523940387,1523940462,75,83
5454944,1523940424,1523940463,39,228
5454946,1523940463,1523940476,13,158
5454947,1523940467,1523940477,10,99
5454949,1523940478,1523940505,27,10
5454950,1523940498,1523940506,8,167
5454951,1523940503,1523940519,16,217
5454952,1523940510,1523940598,88,130
5454956,1523940542,1523940599,57,128
5454957,1523940571,1523940600,29,144
5454958,1523940575,1523940666,91,113
5454961,1523940649,1523940667,18,172
5454963,1523940669,1523940690,21,24
5454964,1523940691,1523940700,9,142
5454965,1523940696,1523940709,13,160
5454966,1523940706,1523940726,20,153
5454967,1523940713,1523940746,33,138
5454969,1523940752,1523940795,43,196
5454970,1523940758,1523940803,45,79
5454971,1523940798,1523940824,26,204
5454973,1523940819,1523940825,6,115
5454975,1523940826,1523940880,54,4
5454977,1523940884,1523940904,20,207
5454978,1523940893,1523940918,25,72
5454979,1523940915,1523940940,25,108
5454980,1523940930,1523941253,323,169
5454981,1523940964,1523941254,290,134
5454983,1523940982,1523941255,273,181
5454985,1523941006,1523941256,250,8
5454987,1523941022,1523941257,235,29
5454989,1523941053,1523941258,205,87
5454990,1523941067,1523941259,192,121
5454991,1523941082,1523941260,178,168
5454992,1523941107,1523941261,154,193
5454994,1523941132,1523941262,130,116
5454995,1523941148,1523941263,115,175
5454996,1523941152,1523941264,112,67
5454997,1523941188,1523941265,77,170
5454998,1523941204,1523941266,62,139
5455000,1523941221,1523941267,46,144
5455002,1523941270,1523941412,142,57
5455004,1523941295,1523941413,118,42
5455006,1523941330,1523941414,84,129
5455010,1523941367,1523941415,48,53
5455012,1523941384,1523941416,32,36
5455015,1523941431,1523941469,38,10
5455018,1523941448,1523941470,22,87
5455020,1523941470,1523941540,70,156
5455023,1523941496,1523941541,45,1
5455024,1523941529,1523941542,13,131
5455027,1523941569,1523941614,45,148
5455028,1523941587,1523941615,28,139
5455029,1523941602,1523941640,38,104
5455030,1523941633,1523941656,23,216
5455031,1523941648,1523941662,14,154
5455032,1523941659,1523941672,13,66
5455033,1523941671,1523941694,23,117
5455034,1523941693,1523941707,14,67
5455035,1523941706,1523941921,215,56
5455036,1523941731,1523941923,192,171
5455038,1523941747,1523941924,177,118
5455039,1523941755,1523941925,170,119
5455040,1523941762,1523941927,165,155
5455042,1523941769,1523941928,159,62
5455043,1523941806,1523941929,123,163
5455045,1523941837,1523941930,93,188
5455046,1523941843,1523941931,88,155
5455047,1523941866,1523941932,66,72
5455048,1523941871,1523941933,62,124
5455050,1523941881,1523941934,53,107
5455051,1523941887,1523941935,48,147
5455052,1523941896,1523941936,40,82
5455053,1523941922,1523942068,146,120
5455054,1523941926,1523942091,165,97
5455058,1523941989,1523942092,103,6
5455059,1523942014,1523942093,79,138
5455060,1523942032,1523942094,62,143
5455061,1523942049,1523942095,46,198
5455062,1523942089,1523942162,73,162
5455063,1523942109,1523942163,54,142
5455065,1523942128,1523942164,36,127
5455066,1523942147,1523942210,63,92
5455067,1523942171,1523942211,40,203
5455071,1523942198,1523942212,14,55
5455074,1523942230,1523942287,57,126
5455075,1523942277,1523942288,11,166
5455078,1523942297,1523942354,57,114
5455080,1523942338,1523942355,17,80
5455081,1523942344,1523942411,67,31
5455083,1523942371,1523942426,55,131
5455085,1523942406,1523942427,21,161
5455086,1523942415,1523942428,13,194
5455088,1523942451,1523942507,56,146
5455089,1523942486,1523942512,26,170
5455090,1523942506,1523942526,20,185
5455091,1523942523,1523942546,23,162
5455092,1523942541,1523942557,16,100
5455093,1523942552,1523942577,25,76
5455094,1523942573,1523942599,26,100
5455095,1523942589,1523942618,29,197
5455096,1523942611,1523942637,26,111
5455097,1523942629,1523942658,29,114
5455099,1523942641,1523942659,18,191
5455100,1523942644,1523942732,88,87
5455101,1523942676,1523942733,57,150
5455102,1523942709,1523942734,25,136
5455103,1523942717,1523942736,19,125
5455104,1523942725,1523942740,15,63
5455105,1523942735,1523942812,77,47
5455106,1523942806,1523942833,27,189
5455107,1523942809,1523943203,394,143
5455109,1523942826,1523943204,378,53
5455110,1523942858,1523943205,347,168
5455111,1523942874,1523943206,332,195
5455112,1523942881,1523943207,326,101
5455114,1523942908,1523943208,300,120
5455116,1523942934,1523943209,275,190
5455117,1523942943,1523943210,267,138
5455118,1523942948,1523943211,263,32
5455119,1523942953,1523943212,259,143
5455121,1523942992,1523943213,221,45
5455122,1523943001,1523943214,213,155
5455123,1523943024,1523943215,191,219
5455125,1523943074,1523943216,142,191
5455127,1523943105,1523943217,112,161
5455128,1523943111,1523943219,108,168
5455129,1523943134,1523943220,86,112
5455132,1523943150,1523943221,71,26
5455133,1523943160,1523943222,62,101
5455135,1523943184,1523943223,39,119
5455137,1523943198,1523943224,26,123
5455138,1523943217,1523943361,144,160
5455141,1523943278,1523943362,84,82
5455144,1523943332,1523943363,31,107
5455145,1523943345,1523943364,19,90
5455146,1523943356,1523943380,24,83
5455147,1523943365,1523943400,35,111
5455148,1523943396,1523943437,41,140
5455149,1523943433,1523943829,396,181
5455151,1523943456,1523943830,374,35
5455152,1523943469,1523943831,362,119
5455153,1523943492,1523943832,340,115
5455154,1523943496,1523943833,337,245
5455155,1523943520,1523943834,314,206
5455156,1523943523,1523943835,312,60
5455159,1523943537,1523943836,299,47
5455160,1523943566,1523943837,271,168
5455161,1523943575,1523943838,263,61
5455162,1523943582,1523943839,257,52
5455163,1523943592,1523943840,248,55
5455166,1523943608,1523943841,233,59
5455167,1523943631,1523943842,211,148
5455168,1523943643,1523943843,200,130
5455169,1523943680,1523943844,164,177
5455171,1523943702,1523943845,143,106
5455172,1523943780,1523943846,66,27
5455173,1523943794,1523943847,53,190
5455174,1523943812,1523943849,37,56
5455175,1523943817,1523943876,59,174
5455176,1523943830,1523943877,47,79
5455177,1523943834,1523943878,44,79
5455178,1523943837,1523943898,61,154
5455179,1523943874,1523943908,34,88
5455180,1523943900,1523943909,9,206
5455181,1523943903,1523943948,45,153
5455182,1523943936,1523943965,29,151
5455183,1523943951,1523943975,24,125
5455184,1523943966,1523943990,24,134
5455185,1523943985,1523944023,38,147
5455186,1523944018,1523944030,12,69
5455187,1523944025,1523944038,13,273
5455188,1523944029,1523944039,10,135
5455189,1523944032,1523944052,20,58
5455190,1523944046,1523944071,25,58
5455191,1523944068,1523944114,46,76
5455192,1523944110,1523944134,24,72
5455193,1523944133,1523944328,195,141
5455195,1523944156,1523944329,173,166
5455196,1523944160,1523944331,171,104
5455197,1523944182,1523944332,150,91
5455198,1523944193,1523944333,140,103
5455199,1523944218,1523944335,117,123
5455200,1523944247,1523944336,89,151
5455201,1523944256,1523944337,81,87
5455202,1523944279,1523944338,59,144
5455204,1523944292,1523944339,47,85
5455205,1523944315,1523944340,25,64
5455206,1523944319,1523944342,23,43
5455207,1523944331,1523944356,25,138
5455208,1523944355,1523944375,20,159
5455209,1523944369,1523944376,7,51
5455210,1523944373,1523944401,28,82
5455211,1523944389,1523944420,31,109
5455212,1523944414,1523944433,19,119
5455213,1523944430,1523944449,19,116
5455214,1523944449,1523944465,16,162
5455215,1523944462,1523944467,5,147
5455216,1523944464,1523944470,6,152
5455217,1523944468,1523944574,106,72
5455219,1523944480,1523944575,95,149
5455220,1523944491,1523944576,85,101
5455221,1523944552,1523944577,25,154
5455222,1523944564,1523944579,15,176
5455223,1523944569,1523944591,22,4
5455224,1523944581,1523944600,19,119
5455225,1523944598,1523944604,6,106
5455226,1523944601,1523944615,14,117
5455227,1523944611,1523944621,10,25
5455228,1523944618,1523944643,25,82
5455229,1523944636,1523944651,15,67
5455230,1523944639,1523944705,66,78
5455231,1523944702,1523944710,8,145
5455232,1523944708,1523944767,59,105
5455233,1523944737,1523944779,42,171
5455234,1523944766,1523944812,46,150
5455235,1523944768,1523944813,45,50
5455236,1523944773,1523944814,41,98
5455238,1523944790,1523944815,25,83
5455239,1523944799,1523944825,26,184
5455240,1523944819,1523944970,151,198
5455241,1523944827,1523944971,144,154
5455242,1523944831,1523944972,141,194
5455243,1523944847,1523944973,126,36
5455244,1523944854,1523944974,120,138
